danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.057772,0.086649,0.013654,0.087153,0.020473,0.031181,-0.111695,0.028955,0.059787,Calm
0.028616,0.090547,0.003251,0.097323,0.023129,0.008529,-0.117742,0.027212,0.062686,Calm
0.037363,0.092845,0.008759,0.100385,0.025312,0.014280,-0.060564,0.027439,0.059874,Calm
0.042762,0.000061,0.086383,0.000000,0.041691,0.025547,-0.013057,0.075798,0.072966,Energetic
0.053669,0.003058,0.080345,0.007425,0.109936,0.077951,-0.014172,0.048814,0.059381,Energetic
0.041358,0.099242,0.001830,0.103228,0.030028,0.014804,-0.125250,0.040022,0.031847,Calm
0.055288,0.035079,0.032696,0.080920,0.026305,0.036028,-0.040398,0.026833,0.039101,Sad
0.043302,0.093345,0.018484,0.000700,0.027794,0.009747,-0.064016,0.026908,0.055793,Sad
0.050861,0.068860,0.026844,0.000059,0.021466,0.029477,-0.043468,0.019556,0.068994,Sad
0.043086,0.084750,0.041148,0.000044,0.022310,0.034718,-0.040731,0.020617,0.065831,Sad
0.044058,0.098642,0.000481,0.101588,0.029779,0.004992,-0.129470,0.026908,0.034080,Calm
0.058420,0.000025,0.089913,0.000001,0.104972,0.066160,-0.018344,0.030016,0.058947,Energetic
0.047513,0.082651,0.035668,0.102134,0.038713,0.011948,-0.054783,0.034337,0.060313,Calm
0.061767,0.083451,0.014397,0.000015,0.022483,0.012433,-0.063998,0.026075,0.051820,Sad
0.079045,0.012693,0.048300,0.003794,0.034494,0.044413,-0.029695,0.028500,0.056561,Happy
0.057340,0.000051,0.082853,0.002624,0.035735,0.078475,-0.020170,0.044115,0.061348,Energetic
0.034663,0.098342,0.010217,0.105305,0.028539,0.022665,-0.104982,0.026150,0.034845,Calm
0.049565,0.060365,0.053409,0.000000,0.021962,0.023975,-0.021583,0.043432,0.052743,Sad
0.071918,0.025085,0.062047,0.000001,0.123833,0.100223,-0.035369,0.039643,0.062542,Happy
0.041790,0.073557,0.021735,0.000000,0.020846,0.053452,-0.039367,0.028273,0.037077,Sad
0.093731,0.030782,0.032231,0.000002,0.027298,0.086336,-0.042335,0.040628,0.051884,Happy
